03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29830558	NaN	NaN	NaN
58186.29831749	NaN	NaN	NaN
58186.29832939	NaN	NaN	NaN
58186.29834129	NaN	NaN	NaN
58186.29835319	NaN	NaN	NaN
58186.29836510	NaN	NaN	NaN
58186.29837701	NaN	NaN	NaN
58186.29838891	NaN	NaN	NaN
58186.29840082	NaN	NaN	NaN
58186.29841271	NaN	NaN	NaN
58186.29842462	NaN	NaN	NaN
58186.29843653	NaN	NaN	NaN
58186.29844843	NaN	NaN	NaN
58186.29846033	NaN	NaN	NaN
58186.29847224	NaN	NaN	NaN
58186.29848414	NaN	NaN	NaN
58186.29849604	NaN	NaN	NaN
58186.29850795	NaN	NaN	NaN
58186.29851987	NaN	NaN	NaN
58186.29853178	NaN	NaN	NaN
58186.29854370	NaN	NaN	NaN
58186.29855562	NaN	NaN	NaN
58186.29856753	NaN	NaN	NaN
58186.29857943	NaN	NaN	NaN
58186.29859133	NaN	NaN	NaN
58186.29860323	NaN	NaN	NaN
58186.29861513	NaN	NaN	NaN
58186.29862703	NaN	NaN	NaN
58186.29863893	NaN	NaN	NaN
58186.29865084	NaN	NaN	NaN
58186.29866274	NaN	NaN	NaN
58186.29867466	NaN	NaN	NaN
58186.29868656	NaN	NaN	NaN
58186.29869848	NaN	NaN	NaN
58186.29871038	NaN	NaN	NaN
58186.29872229	NaN	NaN	NaN
58186.29873419	NaN	NaN	NaN
58186.29874611	NaN	NaN	NaN
58186.29875802	NaN	NaN	NaN
58186.29876992	NaN	NaN	NaN
58186.29878181	NaN	NaN	NaN
58186.29879371	NaN	NaN	NaN
58186.29880563	NaN	NaN	NaN
58186.29881753	NaN	NaN	NaN
58186.29882945	NaN	NaN	NaN
58186.29884135	NaN	NaN	NaN
58186.29885325	NaN	NaN	NaN
58186.29886515	NaN	NaN	NaN
58186.29887705	NaN	NaN	NaN
58186.29888894	NaN	NaN	NaN
58186.29890085	NaN	NaN	NaN
58186.29891278	NaN	NaN	NaN
58186.29892467	NaN	NaN	NaN
58186.29893657	NaN	NaN	NaN
58186.29894848	NaN	NaN	NaN
58186.29896040	NaN	NaN	NaN
58186.29897231	NaN	NaN	NaN
58186.29898423	NaN	NaN	NaN
58186.29899613	NaN	NaN	NaN
58186.29900803	NaN	NaN	NaN
58186.29901995	NaN	NaN	NaN
58186.29903185	NaN	NaN	NaN
58186.29904378	NaN	NaN	NaN
58186.29905571	NaN	NaN	NaN
